Pixel No,Average,L1
1044,15718.000000, 15718
1045,15723.000000, 15723
1046,15628.000000, 15628
1047,15599.000000, 15599
1048,15690.000000, 15690
1049,15672.000000, 15672
1050,15699.000000, 15699
1051,15674.000000, 15674
1052,15756.000000, 15756
1053,15605.000000, 15605
1054,15671.000000, 15671
1055,15654.000000, 15654
1056,15699.000000, 15699
1057,15698.000000, 15698
1058,15633.000000, 15633
1059,15597.000000, 15597
1060,15602.000000, 15602
1061,15577.000000, 15577
1062,15741.000000, 15741
1063,15803.000000, 15803
1064,15754.000000, 15754
1065,15706.000000, 15706
1066,15718.000000, 15718
1067,15733.000000, 15733
1068,15689.000000, 15689
1069,15722.000000, 15722
1070,15757.000000, 15757
1071,15751.000000, 15751
1072,15719.000000, 15719
1073,15563.000000, 15563
1074,15680.000000, 15680
1075,15697.000000, 15697
1076,15720.000000, 15720
1077,15740.000000, 15740
1078,15801.000000, 15801
1079,15690.000000, 15690
1080,15640.000000, 15640
1081,15659.000000, 15659
1082,15675.000000, 15675
1083,15639.000000, 15639
1084,15684.000000, 15684
1085,15641.000000, 15641
1086,15627.000000, 15627
1087,15674.000000, 15674
1088,15644.000000, 15644
1089,15525.000000, 15525
1090,15601.000000, 15601
1091,15543.000000, 15543
1092,15489.000000, 15489
1093,15512.000000, 15512
1094,15535.000000, 15535
1095,15351.000000, 15351
1096,15464.000000, 15464
1097,15458.000000, 15458
1098,15486.000000, 15486
1099,15426.000000, 15426
1100,15364.000000, 15364
1101,15385.000000, 15385
1102,15363.000000, 15363
1103,15424.000000, 15424
1104,15442.000000, 15442
1105,15423.000000, 15423
1106,15402.000000, 15402
1107,15367.000000, 15367
1108,15370.000000, 15370
1109,15282.000000, 15282
1110,15255.000000, 15255
1111,15227.000000, 15227
1112,15291.000000, 15291
1113,15248.000000, 15248
1114,15277.000000, 15277
1115,15230.000000, 15230
1116,15208.000000, 15208
1117,15176.000000, 15176
1118,15118.000000, 15118
1119,15231.000000, 15231
1120,15193.000000, 15193
1121,15145.000000, 15145
1122,15158.000000, 15158
1123,15140.000000, 15140
1124,15126.000000, 15126
1125,15045.000000, 15045
1126,15098.000000, 15098
1127,15046.000000, 15046
1128,15110.000000, 15110
1129,15046.000000, 15046
1130,15085.000000, 15085
1131,15019.000000, 15019
1132,15076.000000, 15076
1133,15051.000000, 15051
1134,15070.000000, 15070
1135,15035.000000, 15035
1136,15026.000000, 15026
1137,14898.000000, 14898
1138,14983.000000, 14983
1139,14999.000000, 14999
1140,14946.000000, 14946
1141,14875.000000, 14875
1142,14937.000000, 14937
1143,14923.000000, 14923
1144,14892.000000, 14892
1145,14907.000000, 14907
1146,14865.000000, 14865
1147,14894.000000, 14894
1148,14929.000000, 14929
