Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
674,727608.455,723.000000,   723
675,730816.063,709.000000,   709
676,734033.085,714.000000,   714
677,737259.536,720.000000,   720
678,740495.430,723.000000,   723
679,743740.780,717.000000,   717
680,746995.600,712.000000,   712
681,750259.904,707.000000,   707
682,753533.706,711.000000,   711
683,756817.020,715.000000,   715
684,760109.859,726.000000,   726
685,763412.237,727.000000,   727
686,766724.169,720.000000,   720
687,770045.667,713.000000,   713
688,773376.746,724.000000,   724
689,776717.419,726.000000,   726
690,780067.700,721.000000,   721
691,783427.603,711.000000,   711
692,786797.142,723.000000,   723
693,790176.331,723.000000,   723
694,793565.183,723.000000,   723
695,796963.713,727.000000,   727
696,800371.933,729.000000,   729
697,803789.858,713.000000,   713
698,807217.502,728.000000,   728
699,810654.878,725.000000,   725
700,814102.000,723.000000,   723
701,817558.882,729.000000,   729
702,821025.538,713.000000,   713
703,824501.982,726.000000,   726
704,827988.227,718.000000,   718
705,831484.287,717.000000,   717
706,834990.177,716.000000,   716
707,838505.909,720.000000,   720
708,842031.498,701.000000,   701
709,845566.957,723.000000,   723
710,849112.300,714.000000,   714
711,852667.541,728.000000,   728
712,856232.694,718.000000,   718
713,859807.773,722.000000,   722
714,863392.791,714.000000,   714
715,866987.763,712.000000,   712
716,870592.701,735.000000,   735
717,874207.620,738.000000,   738
718,877832.534,737.000000,   737
719,881467.456,717.000000,   717
720,885112.400,727.000000,   727
721,888767.380,716.000000,   716
722,892432.410,701.000000,   701
723,896107.504,702.000000,   702
724,899792.675,720.000000,   720
725,903487.938,728.000000,   728
726,907193.305,714.000000,   714
727,910908.791,733.000000,   733
728,914634.410,722.000000,   722
729,918370.175,712.000000,   712
730,922116.100,727.000000,   727
731,925872.199,715.000000,   715
732,929638.486,708.000000,   708
733,933414.975,713.000000,   713
734,937201.679,736.000000,   736
735,940998.612,723.000000,   723
736,944805.789,730.000000,   730
737,948623.222,716.000000,   716
738,952450.926,703.000000,   703
739,956288.914,705.000000,   705
740,960137.200,710.000000,   710
741,963995.798,722.000000,   722
742,967864.722,718.000000,   718
743,971743.986,711.000000,   711
744,975633.603,722.000000,   722
745,979533.588,731.000000,   731
746,983443.953,729.000000,   729
747,987364.713,716.000000,   716
748,991295.882,709.000000,   709
749,995237.473,702.000000,   702
750,999189.500,715.000000,   715
751,1003151.977,710.000000,   710
752,1007124.918,719.000000,   719
753,1011108.337,722.000000,   722
754,1015102.247,722.000000,   722
755,1019106.662,716.000000,   716
756,1023121.597,707.000000,   707
757,1027147.064,717.000000,   717
758,1031183.078,722.000000,   722
759,1035229.652,727.000000,   727
760,1039286.800,723.000000,   723
761,1043354.536,714.000000,   714
762,1047432.874,702.000000,   702
763,1051521.828,718.000000,   718
764,1055621.411,706.000000,   706
